NO,Kode Accurate,NAMA BARANG,STATUS,CP,SP,PRICE,TANGGAL UPDATE,KATEGORI,NAMA BRAND,Stok Sistem,NON AKTIF
2340,2507000020,NEW MICROSOFT OFFICE HOME & BUSINESS 2024,READY,"Rp3.171.171,00","Rp4.250.000,00","Rp3.750.000,00",08/01/2026,LISENCE OFFICE & WINDOWS,MICROSOFT,4,TIDAK
2341,2508000050,NEW MICROSOFT OFFICE HOME 2024,READY,"Rp1.423.423,00","Rp1.650.000,00","Rp1.550.000,00",08/01/2026,LISENCE OFFICE & WINDOWS,MICROSOFT,5,TIDAK
2342,2508000049,NEW MICROSOFT WINDOWS 11 HOME,READY,"Rp1.801.801,00","Rp2.200.000,00","Rp1.950.000,00",08/01/2026,LISENCE OFFICE & WINDOWS,MICROSOFT,10,TIDAK
2343,2503000064,NEW MICROSOFT WINDOWS 11 PRO DVD,READY,"Rp2.252.252,00",,,,LISENCE OFFICE & WINDOWS,MICROSOFT,7,TIDAK
2344,2510000178,NEW MINI PC MSI CUBI 5 12M-054BID-B71255U32GS10XX DOS,KOSONG,,,,,MINI PC,MSI,,TIDAK
2345,2510000179,NEW MINI PC MSI CUBI 5 12M-054BIF-B71244UXX 936-B0A811-090 12M CORE I7 1255u,,,,,,MINI PC,MSI,1,TIDAK
2346,2510000180,NEW MINI PC MSI CUBI N ADL-238BID-BN100XX 936-B0A911-238 CELERON N100 BAREBONE BLACK,,,,,,MINI PC,MSI,1,TIDAK
2347,2506000343,NEW MODEM HKM G009 WORLDWIDE PORTABLE WIFI - WHITE,,,,,,MODEM,,29,TIDAK
2348,2503000337,NEW MODEM ORBIT STAR H2 150GB,KOSONG,,,,,MODEM,TELKOMSEL,,TIDAK
2349,2503000336,NEW MODEM TELKOMSEL ORBIT MiFi H1 WITH KUOTA 15GB,KOSONG,,,,,MODEM,TELKOMSEL,,TIDAK
2350,2510000055,"NEW MONITOR ACER EK221Q E3 21.1"" 100HZ",KOSONG,,,,,"MONITOR 22""",ACER,,TIDAK
2351,2505000124,NEW MONITOR ACER NITRO VG240Y 23.8 INCH IPS 1MS 200MHZ,KOSONG,,,,,"MONITOR 24""",ACER,,TIDAK
2352,2505000125,NEW MONITOR ACER NITRO XZ306C 29.5 INCH CURVED 2K 200HZ,READY,"Rp3.550.000,00","Rp3.750.000,00","Rp3.650.000,00",16/12/2025,"MONITOR 30""",ACER,1,TIDAK
2353,2504000479,NEW MONITOR AOC Q27G4F FLAT 27 INCH 180HZ FAST IPS,KOSONG,,,,,"MONITOR 27""",AOC,,TIDAK
2354,2511000145,"NEW MONITOR ASUS ROG STRIX XG27ACMES 27"" FAST IPS 255Hz",READY,"Rp3.180.954,00","Rp3.850.000,00","Rp3.500.000,00",05/01/2026,"MONITOR 27""",ASUS,9,TIDAK
2355,2506000256,NEW MONITOR ASUS ROG STRIX XG27ACS 27 INCH 180HZ FAST IPS 90LM09Q0-B01110,KOSONG,,,,,"MONITOR 27""",ASUS,,YA
2356,2503000657,NEW MONITOR ASUS ROG STRIX XG27ACS GAMING MONITOR [27 Inch WQHD / IPS / 180Hz / USB Type-C],KOSONG,,,,,"MONITOR 27""",ASUS,,TIDAK
2357,2509000260,"NEW MONITOR ASUS ROG STRIX XG27UCG 27"" 4K FAST IPS",READY,"Rp5.450.000,00","Rp6.990.000,00","Rp6.000.000,00",16/12/2025,"MONITOR 27""",ASUS,4,TIDAK
2358,2506000257,NEW MONITOR ASUS ROG STRIX XG27UCS 27 INCH 4K 160HZ FAST IPS FHD 90LM09S0-B01110,READY,"Rp6.138.000,00","Rp6.500.000,00","Rp6.350.000,00",16/12/2025,"MONITOR 27""",ASUS,2,TIDAK
